album;song_title;section;lyric_bait;meaning_bait;source
Dark Lane Demo Tapes;Not You Too (Ft. Chris Brown);Verse 1: Drake, Chris Brown, Drake & Chris Brown;"Trust
Trust who?
Watchin'?my?back even when?I'm in the booth
Oh, trust who?
Doin'?my thing, but I'm down to come clean, not like?you
I?wanna?make you feel?the weight's off?your shoulders too
I'll take it
Just tell me it can't be that crazy
And even if it is that crazy, baby
I'll take it
I want you, I know you're not an angel
Not you
Oh, just save it
Don't waste your time
'Cause I'm wavy and I'm sayin' things
That I don't mean, but I do mean
And I don't want you to miss me
'Cause there's no way that you're sorry
And you're crying and you're sayin' things
That I do believe, but I don't even
Want you to get in my mind
I'm supposed to be in your mind (Oh woah)
For the first time in a long time
For the first time in a long
For the first time in the longest time";"Lirik ""I want you, I know you're not an angel"" menjadi pembuka yang sangat kuat dan jujur. Drake secara terbuka mengakui keinginannya terhadap seseorang, tetapi ia juga dengan tegas menyatakan bahwa ia tahu orang tersebut bukanlah sosok yang sempurna atau 'malaikat.' Ini bisa menjadi metafora untuk seseorang yang memiliki masa lalu yang kelam, cacat karakter, atau yang telah melakukan kesalahan. Pengakuan ini menunjukkan tingkat penerimaan yang tinggi, di mana ia mencintai seseorang apa adanya, dengan segala kekurangan mereka.

Namun, pengakuan ini segera diikuti oleh rasa lelah yang nyata. Lirik ""Not you / Oh, just save it / Don't waste your time"" menunjukkan pergeseran emosi dari penerimaan menjadi sikap pasrah yang sinis. Baris ""Not you"" bisa menjadi sebuah ekspresi kekecewaan mendalam, seolah-olah ia berkata, ""Aku sudah tahu kamu akan melakukan ini juga, tidak lagi terkejut."" Kalimat ""just save it"" dan ""don't waste your time"" adalah penolakan terhadap argumen atau pembelaan yang akan diucapkan oleh pasangannya. Ini menyiratkan bahwa ia sudah terbiasa dengan pola perilaku ini dan tidak lagi memiliki energi untuk menghadapi drama atau kebohongan yang mungkin akan datang. Ia sudah terlalu sering berada di posisi ini dan memilih untuk mundur daripada berdebat.";genius.com
Dark Lane Demo Tapes;Not You Too (Ft. Chris Brown);Chorus: Drake with Chris Brown;"First time in a long time
Hurtin' deeply inside
First time in a long time
Hurtin' deeply";Bait ini menggambarkan perasaan sakit hati yang mendalam dan mengejutkan setelah sekian lama tidak merasakannya, menandakan bahwa pengkhianatan atau kehilangan dalam hubungan tersebut sangat membekas secara emosional bagi Drake. Kalimat sederhana namun berulang ini menekankan intensitas luka yang ia rasakan, seolah tidak menyangka bahwa orang terdekatnya bisa menyakiti seperti itu.;genius.com
Dark Lane Demo Tapes;Not You Too (Ft. Chris Brown);Bridge: Drake, Chris Brown, Chris Brown & Drake;"Yeah (Now, oh, baby)
Ayy
Hurtin' deeply inside
Trust
Trust
Trust
Trust who?";Bait ini menggambarkan perasaan kebingungan dan kekecewaan Drake terhadap masalah kepercayaan dalam hubungan yang sedang ia alami, di mana rasa sakit emosional yang dalam mengarah pada pertanyaan 'trust who?' yang mengungkapkan ketidakmampuan untuk mempercayai siapa pun setelah rasa sakit yang ia rasakan. Ucapan berulang tentang 'trust' menekankan keraguan dan kerapuhan mental yang sedang ia alami.;genius.com
Dark Lane Demo Tapes;Not You Too (Ft. Chris Brown);Verse 2: Drake with Chris Brown;"Trust me and I can set you free
Left your man, came straight to me
You the real MVP, my love
Ride dirty like Pimp C
You a real ten-speed freak, shawty
You was everything a nigga need
You was everything to me, my love
Why you keep that little shit from me?
Left me down on bended knee
When I scooped you in the Maybach
The only time a nigga ever made you take a backseat
Why you do that little shit to me, shawty?
When you know that we was meant to be
Why'd you keep those things from me, my love? (Love)
I've given you enough time
Sponsored by Aberlour
Introducing Aberlour All Access
SEE MORE";Bait ini menggambarkan perasaan kekecewaan dan kebingungan Drake terhadap pasangan yang dia anggap sangat berarti, namun kemudian menyembunyikan hal-hal darinya. Drake merasa terluka karena pasangan tersebut tidak jujur dan membuat keputusan yang merugikan hubungan mereka, meskipun ia sudah memberikan perhatian dan kasih sayang yang besar.;genius.com
Dark Lane Demo Tapes;Not You Too (Ft. Chris Brown);Chorus: Drake with Chris Brown;"Hurtin' deeply inside
Trust
Trust
Hurtin' deeply, deeply";Bait ini menggambarkan perasaan luka mendalam yang dialami Drake, terutama terkait dengan masalah kepercayaan dalam hubungan yang telah ia jalani. Ucapan berulang tentang 'hurtin' deeply' menekankan betapa besar rasa sakit emosional yang ia rasakan akibat ketidakjujuran atau pengkhianatan.;genius.com
Dark Lane Demo Tapes;Not You Too (Ft. Chris Brown);Outro: Drake;"Thought I knew the real, then they flipped
How many times did I ask about this, on God?
Why you let me find out like this, on God?
Houston, we got a problem, my dawg
All my niggas love you, got us all involved
Ain't no goin' back to how we started off
No, no, no, no";Drake mengungkapkan rasa kecewa dan keterkejutannya setelah mengetahui kenyataan yang disembunyikan darinya, yang tampaknya melibatkan pengkhianatan. Dia merasa dikhianati oleh orang-orang yang dekat dengannya, dan menyadari bahwa hubungan itu tidak bisa kembali seperti semula.;genius.com
Dark Lane Demo Tapes;Toosie Slide;Pre-Chorus;"Black leather glove, no sequins
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece?in?it
Got a dance,?but it's really on some street?shit
I'ma show you how to get it";Dalam bait ini, Drake menggambarkan gaya hidupnya yang mewah dan penuh gaya, dengan menyebutkan aksesori dan pakaian desainer, serta menekankan bahwa meskipun penampilannya stylish, dia tetap berhubungan dengan akar 'street' melalui gerakan dan caranya bergaul. Dia juga menunjukkan kepercayaan diri dengan mengklaim bahwa dia akan mengajarkan orang lain cara untuk sukses dan bergerak seperti dirinya.;genius.com
Dark Lane Demo Tapes;Toosie Slide;Chorus;"It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way, we 'bout to slide, ayy
Can't let this one slide, ayy";Bait ini mengacu pada gerakan tari yang menjadi populer berkat lagu ini, di mana Drake menggambarkan langkah-langkahnya dengan jelas. Selain itu, lirik ini juga memiliki makna metaforis, yaitu bahwa apapun yang terjadi, dia tidak akan membiarkan kesempatan ini terlewat begitu saja, baik dalam hal tarian maupun dalam konteks kehidupan yang lebih luas.;genius.com
Dark Lane Demo Tapes;Toosie Slide;Post-Chorus;"Don't you wanna dance with me? No?
I could dance like Michael Jackson
I could give you thug passion
It's a Thriller in the trap where we from
Baby, don't you wanna dance with me? No?
I could dance like Michael Jackson
I could give you satisfaction
And you know we out here every day with it
I'ma show you how to get it";Drake mengajak pendengarnya untuk bergabung dalam tarian dan gaya hidupnya yang penuh energi, dengan menyebutkan kemampuan untuk menari seperti Michael Jackson dan memberikan kepuasan emosional ('thug passion'). Lirik ini juga mencerminkan bahwa dia selalu hadir dalam kehidupan yang penuh dengan keseruan dan tantangan, dengan mengaitkan referensi budaya pop seperti 'Thriller' dan 'Michael Jackson'.;genius.com
Dark Lane Demo Tapes;Toosie Slide;Chorus;"It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin', either way, we 'bout to slide, ayy
Can't let this one slide, ayy (Who's bad?)";Bait ini mengajak pendengar untuk mengikuti gerakan tarian 'Toosie Slide' yang ikonik, dengan fokus pada gerakan kaki yang berganti arah. Drake menekankan bahwa apapun arah yang diambil, dia dan pendengarnya akan tetap maju, sambil menambahkan sentuhan percaya diri dengan frasa 'Can't let this one slide' yang menunjukkan tekad untuk tidak melewatkan kesempatan yang ada.;genius.com
Dark Lane Demo Tapes;Toosie Slide;Verse 1;"Two thousand shorties wanna tie the knot, ayy, yeah
Two hundred shooters on my brother's block, woah, yeah
Petal off a rose like I love her not, maybe not
I don't know what's wrong with me, I can't stop, woah, yeah
Won't stop, woah, yeah, never stop
Got so many opps, I be mistakin' opps for other opps
Got so many people that I love out of troubled spots
Other than the family I got, it's either you or me
That's just how I think, it's either you or me
This life got too deep for you, baby
Two or three of us about to creep where they stayin'";Bait ini menggambarkan kehidupan Drake yang penuh dengan tekanan, hubungan rumit, dan ancaman dari banyak pihak. Dia merasa terjebak dalam situasi di mana banyak orang ingin memanfaatkan atau menghancurkannya, namun dia terus melangkah dengan keyakinan bahwa hidupnya adalah tentang bertahan, memilih antara teman atau musuh, dan melindungi yang terpenting baginya.;genius.com
Dark Lane Demo Tapes;Toosie Slide;Pre-Chorus;"Black leather glove, no sequins
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece in it
Got a dance, but it's really on some street shit
I'ma show you how to get it";Bait ini menggambarkan kehidupan Drake yang penuh dengan tekanan, hubungan rumit, dan ancaman dari banyak pihak. Dia merasa terjebak dalam situasi di mana banyak orang ingin memanfaatkan atau menghancurkannya, namun dia terus melangkah dengan keyakinan bahwa hidupnya adalah tentang bertahan, memilih antara teman atau musuh, dan melindungi yang terpenting baginya.;genius.com
Dark Lane Demo Tapes;Toosie Slide;Chorus;"It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way, we 'bout to slide, ayy
Can't let this one slide, ayy (Who's bad?)";"Pada lirik ""It go right foot up, left foot, slide / Left foot up, right foot, slide,"" Drake secara harfiah memberikan instruksi sederhana untuk gerakan tarian yang menjadi inti dari lagu ini. Gerakan ini dibuat agar mudah diikuti oleh siapa saja, dari penari profesional hingga publik umum. Hal ini menunjukkan kepiawaian Drake dalam menciptakan konten yang sangat mudah diterima dan viral, menjadikannya perencana di balik sebuah fenomena budaya.

Kemudian, pada baris ""Basically, I'm sayin' either way, we 'bout to slide,"" terjadi pergeseran makna yang signifikan. Kata ""slide"" yang semula berarti gerakan tari, berubah menjadi metafora untuk 'maju', 'berhasil', atau 'bergerak tanpa hambatan.' Drake menegaskan bahwa terlepas dari langkah mana yang diambil—apakah itu dengan kaki kanan atau kaki kiri—ia dan orang-orang di sekitarnya akan tetap 'meluncur' atau berhasil. Ini adalah pernyataan yang sangat percaya diri, menunjukkan bahwa ia tidak peduli dengan detail kecil atau kritik, karena hasil akhirnya sudah pasti: kesuksesan yang tak terelakkan.";genius.com
Dark Lane Demo Tapes;Toosie Slide;Verse 2;"Toosie slide, then I hit it double-time
Then I hit a spin 'cause we spun their block a couple times
If it's not the right time, there'll always be another time
I'm not even trippin', we'll just see 'em in the summertime, woah, yeah
Can't describe the pressure I be puttin' on myself, yeah
Really, I just can't afford to lose nobody else, yeah
If they movin' shaky, we'll just do this shit ourselves, woah
If I'm movin' shaky, Chubbs'll do this shit himself, yeah
Solo niggas, only YOLO, for real
Heard a lot about you but we don't know for real
Next time, guarantee the truth'll get revealed";Bait ini mengungkapkan rasa kewaspadaan dan kepercayaan diri Drake, yang menunjukkan bahwa meski menghadapi tekanan dan potensi ancaman, dia siap untuk menghadapinya sendiri atau dengan timnya. Dia juga menekankan pentingnya melindungi dirinya dan orang-orang terdekatnya, serta menunggu waktu yang tepat untuk bertindak.;genius.com
Dark Lane Demo Tapes;Toosie Slide;Pre-Chorus;"Black leather gloves, no sequins, yeah
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece in it
Got a dance, but it's really on some street shit
I'ma show you how";Bait ini menggambarkan gaya hidup mewah dan penuh kepercayaan diri Drake, yang menggabungkan fashion high-end dengan unsur jalanan (street shit). Dia menunjukkan bahwa meskipun tampil dengan pakaian dan aksesori mahal, dia tetap mengutamakan sikap dan keberanian yang tangguh.;genius.com
Dark Lane Demo Tapes;Toosie Slide;Post-Chorus;"Don't you wanna dance with me? No?
I could dance like Michael Jackson (Jackson)
I could give you thug passion (Passion)
It's a Thriller in the trap where we from (Where we from)
Baby, don't you wanna dance with me? No?
I could dance like Michael Jackson (Jackson)
I could give you satisfaction ('Faction)
And you know we out here every day with it
I'ma show you how to get it";Bait ini menunjukkan percaya diri Drake dalam hal kemampuan menari dan daya tariknya, menggabungkan referensi ikonik Michael Jackson dengan kehidupan keras di lingkungan tempat ia berasal, serta ajakan untuk menikmati momen tersebut bersama-sama.;genius.com
Dark Lane Demo Tapes;Toosie Slide;Chorus;"It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way we 'bout to slide
(Who's bad?)";Bait ini menggambarkan langkah-langkah dalam gerakan tarian 'Toosie Slide', dengan makna ganda sebagai ajakan untuk bergabung dalam kesenangan sekaligus merayakan kebebasan bergerak, dengan 'slide' sebagai metafora untuk menghadapi situasi yang datang dengan mudah dan penuh percaya diri.;genius.com
Dark Lane Demo Tapes;Desires (Ft. Future);Chorus: Drake;"I should've put you somewhere where no one could find you
Mansion out?in?the sticks with?nothin' around you
Katy, Texas, Dallas, Texas,?you know, a different environment (Ayy)
'Cause you got desires, I know, I know, I know
'Cause you got desires, I know, I know, I know
'Cause you got desires";Dalam bait ini, Drake mengungkapkan penyesalannya karena tidak menjaga seseorang dengan lebih baik, menginginkan untuk melindungi orang tersebut dari dunia luar dengan memindahkannya ke tempat yang lebih terpencil dan aman. Lirik ini juga mencerminkan pemahaman Drake tentang hasrat dan keinginan yang dimiliki oleh orang yang dimaksud.;genius.com
Dark Lane Demo Tapes;Desires (Ft. Future);Verse 1: Future;"You got that fire and I'm not a liar
You had me down on my knees every day, had to talk with Messiah
I'm in that 8 and that 1 and that 2, this a different Ferrari, yeah
I tried to pay all your loans off and cop you a driver, yeah
I had you stayin' too close to the city, you actin' too vulnerable livin' this life
I should've moved you away from Houston before I copped you all this ice
You wanna be my number one, you're not actin' like the main thing
I let you play my number two, you barely made the second string";Dalam bait ini, Future mengekspresikan kekecewaannya terhadap pasangan yang tidak menghargai pengorbanannya—mulai dari bantuan finansial hingga perlindungan emosional—serta merasa bahwa pasangannya tidak bersikap seperti prioritas utama dalam hidupnya. Ia menyesal tidak menjauhkan pasangan dari pengaruh kehidupan kota sebelum memberinya kemewahan, yang menurutnya justru membuat pasangan tersebut rentan dan tidak setia;genius.com
Dark Lane Demo Tapes;Desires (Ft. Future);Chorus: Drake;"I should've put you somewhere where no one could find you (Ayy)
Mansion out in the sticks with nothin' around you
Katy, Texas, Dallas, Texas, you know, a different environment (Ayy)
'Cause you got desires, I know, I know, I know
'Cause you got desires, I know, I know, I know
'Cause you got desires";Dalam bait ini, Drake mengungkapkan penyesalan karena tidak melindungi pasangannya dari godaan dan pengaruh negatif dengan menjauhkannya dari lingkungan sosial yang merusak. Ia menyadari bahwa keinginan dan ambisi (desires) pasangannya menjadi sumber konflik dalam hubungan mereka.;genius.com
Dark Lane Demo Tapes;Desires (Ft. Future);Verse 2: Drake;"Ayy
Self-control has never been your thing
Don't think it'll help if there's a ring with a rock in it
Where I'm from, they serve the soda clean (Clean, clean)
You come from a city where there's lean with the rocks in it
How the fuck you keep so many secrets?
How you goin' vegan, but still beefin' with me again?
How the fuck you've seen so many beaches?
Tickets to them places don't come cheap, and
I see you back in Turks
Remember who took you there first and don't you forget it
Got you a whip, but then you got back on your shit
I had to tell Eric go get it
I'm always movin' too fast, the feeling don't last
I feel like you take me for granted
Probably my fault for the way that I handle it";Drake menyampaikan rasa frustrasi terhadap mantan pasangannya yang dianggap tidak konsisten, menyimpan banyak rahasia, dan tidak menghargai upaya serta pengorbanannya dalam hubungan. Ia juga menyinggung gaya hidup mewah dan konflik yang tetap ada meski telah banyak diberi kenyamanan.;genius.com
